,country,collection,reference,price_USD
0,USA,Radiomir,PAM01570,6000.0
2,USA,Radiomir,PAM01572,6000.0
3,USA,Radiomir,PAM01573,6000.0
5,USA,Radiomir,PAM01384,5400.0
6,USA,Radiomir,PAM01383,4900.0
7,USA,Radiomir,PAM01382,4900.0
8,USA,Radiomir,PAM01334,7100.0
9,USA,Radiomir,PAM01335,7100.0
10,USA,Radiomir,PAM01350,7100.0
11,USA,Radiomir,PAM01347,9700.0
13,USA,Radiomir,PAM01349,12300.0
17,USA,Radiomir,PAM01026,18200.0
18,USA,Radiomir,PAM01437,18200.0
23,USA,Luminor,PAM01623,5600.0
24,USA,Luminor,PAM01087,5600.0
25,USA,Luminor,PAM01086,5600.0
26,USA,Luminor,PAM01084,6100.0
27,USA,Luminor,PAM01085,6100.0
28,USA,Luminor,PAM01624,6100.0
30,USA,Luminor,PAM00914,7100.0
31,USA,Luminor,PAM00915,7600.0
32,USA,Luminor,PAM01655,8100.0
34,USA,Luminor,PAM01371,7800.0
35,USA,Luminor,PAM01370,7800.0
36,USA,Luminor,PAM01372,7800.0
39,USA,Luminor,PAM01314,8800.0
40,USA,Luminor,PAM01313,8800.0
41,USA,Luminor,PAM01312,8800.0
42,USA,Luminor,PAM01157,9400.0
43,USA,Luminor,PAM01356,9400.0
44,USA,Luminor,PAM01358,9400.0
48,USA,Luminor,PAM01412,9800.0
49,USA,Luminor,PAM02661,14800.0
51,USA,Luminor,PAM01112,26800.0
52,USA,Luminor,PAM01365,9200.0
53,USA,Luminor,PAM01367,9200.0
54,USA,Luminor,PAM01404,9600.0
55,USA,Luminor,PAM01640,9800.0
57,USA,Luminor,PAM01360,10600.0
58,USA,Luminor,PAM01361,10600.0
59,USA,Luminor,PAM01441,14900.0
61,USA,Luminor,PAM01218,10000.0
62,USA,Luminor,PAM01109,10000.0
63,USA,Luminor,PAM01110,10800.0
64,USA,Luminor,PAM01548,10800.0
65,USA,Luminor,PAM01219,16600.0
66,USA,Luminor,PAM01111,29400.0
68,USA,Luminor,PAM01419,17900.0
74,USA,Luminor,PAM00670,24000.0
77,USA,Submersible,PAM01565,11300.0
78,USA,Submersible,PAM01579,11000.0
79,USA,Submersible,PAM01507,12300.0
81,USA,Submersible,PAM01543,16600.0
82,USA,Submersible,PAM01466,16600.0
84,USA,Submersible,PAM01513,19700.0
85,USA,Submersible,PAM01590,9500.0
86,USA,Submersible,PAM02973,9500.0
88,USA,Submersible,PAM02068,11700.0
89,USA,Submersible,PAM01595,9900.0
90,USA,Submersible,PAM01596,9900.0
91,USA,Submersible,PAM01518,10200.0
93,USA,Submersible,PAM01676,11900.0
95,USA,Submersible,PAM01288,11600.0
96,USA,Submersible,PAM01289,11600.0
97,USA,Submersible,PAM01287,11600.0
98,USA,Submersible,PAM02231,17600.0
100,USA,Submersible,PAM01232,18600.0
104,USA,Submersible,PAM02305,10700.0
105,USA,Submersible,PAM02692,14800.0
106,USA,Submersible,PAM01669,13700.0
108,USA,Submersible,PAM02979,20200.0
114,USA,Submersible,PAM02164,29900.0
115,USA,Submersible,PAM02070,33300.0
116,USA,Luminor Due,PAM01378,7400.0
117,USA,Luminor Due,PAM01248,6900.0
118,USA,Luminor Due,PAM01273,6900.0
119,USA,Luminor Due,PAM01552,6900.0
122,USA,Luminor Due,PAM01123,7700.0
123,USA,Luminor Due,PAM01508,7900.0
124,USA,Luminor Due,PAM01311,7900.0
125,USA,Luminor Due,PAM01309,7900.0
127,USA,Luminor Due,PAM01557,9600.0
128,USA,Luminor Due,PAM01179,9600.0
129,USA,Luminor Due,PAM01301,10400.0
130,USA,Luminor Due,PAM01381,7800.0
131,USA,Luminor Due,PAM01388,7300.0
132,USA,Luminor Due,PAM01250,7300.0
133,USA,Luminor Due,PAM01428,7300.0
134,USA,Luminor Due,PAM01429,7300.0
136,USA,Luminor Due,PAM01124,8100.0
137,USA,Luminor Due,PAM01387,8300.0
138,USA,Luminor Due,PAM01539,8300.0
139,USA,Luminor Due,PAM01280,18600.0
140,USA,Luminor Due,PAM01326,37200.0
141,USA,Luminor Due,PAM01182,37200.0
142,USA,Luminor Due,PAM01181,21500.0
144,USA,Luminor Due,PAM01423,21500.0
145,USA,Luminor Due,PAM01336,21500.0
146,USA,Luminor Due,PAM01329,39200.0
