,country,collection,reference,price_USD
295,UK,Radiomir,PAM01570,6548.88
296,UK,Radiomir,PAM01571,6548.88
297,UK,Radiomir,PAM01572,6548.88
298,UK,Radiomir,PAM01573,6548.88
300,UK,Radiomir,PAM01384,5919.18
301,UK,Radiomir,PAM01383,5415.42
302,UK,Radiomir,PAM01382,5415.42
303,UK,Radiomir,PAM01334,7682.34
304,UK,Radiomir,PAM01335,7682.34
305,UK,Radiomir,PAM01350,7682.34
306,UK,Radiomir,PAM01347,10578.96
307,UK,Radiomir,PAM01348,10578.96
312,UK,Radiomir,PAM01026,19772.58
313,UK,Radiomir,PAM01437,19772.58
317,UK,Luminor,PAM01623,6171.06
318,UK,Luminor,PAM01087,6171.06
319,UK,Luminor,PAM01086,6171.06
320,UK,Luminor,PAM01084,6674.820000000001
321,UK,Luminor,PAM01085,6674.820000000001
322,UK,Luminor,PAM01624,6674.820000000001
323,UK,Luminor,PAM01628,11460.54
324,UK,Luminor,PAM00914,7682.34
325,UK,Luminor,PAM00915,8186.1
326,UK,Luminor,PAM01655,8815.800000000001
327,UK,Luminor,PAM00422,12342.12
328,UK,Luminor,PAM01371,8437.980000000001
329,UK,Luminor,PAM01370,8437.980000000001
330,UK,Luminor,PAM01372,8437.980000000001
331,UK,Luminor,PAM01408,10075.2
332,UK,Luminor,PAM01526,14357.160000000002
333,UK,Luminor,PAM01314,9571.44
334,UK,Luminor,PAM01313,9571.44
335,UK,Luminor,PAM01312,9571.44
336,UK,Luminor,PAM01157,10201.14
337,UK,Luminor,PAM01356,10201.14
338,UK,Luminor,PAM01358,10201.14
339,UK,Luminor,PAM01564,10327.08
340,UK,Luminor,PAM01316,10327.08
343,UK,Luminor,PAM02661,16120.320000000002
345,UK,Luminor,PAM01112,29092.140000000003
346,UK,Luminor,PAM01365,9949.26
347,UK,Luminor,PAM01367,9949.26
348,UK,Luminor,PAM01404,10453.02
349,UK,Luminor,PAM01640,10704.9
350,UK,Luminor,PAM01641,27580.86
351,UK,Luminor,PAM01360,11586.48
352,UK,Luminor,PAM01361,11586.48
353,UK,Luminor,PAM01441,16246.26
355,UK,Luminor,PAM01218,10956.78
356,UK,Luminor,PAM01109,10956.78
357,UK,Luminor,PAM01110,11712.42
358,UK,Luminor,PAM01548,11712.42
359,UK,Luminor,PAM01219,18009.420000000002
360,UK,Luminor,PAM01111,31988.76
362,UK,Luminor,PAM01419,19394.76
368,UK,Luminor,PAM00670,26069.58
371,UK,Submersible,PAM01565,12342.12
372,UK,Submersible,PAM01579,11964.3
373,UK,Submersible,PAM01507,13349.64
375,UK,Submersible,PAM01543,18009.420000000002
376,UK,Submersible,PAM01466,18009.420000000002
378,UK,Submersible,PAM01513,21409.800000000003
379,UK,Submersible,PAM01590,10327.08
380,UK,Submersible,PAM02973,10327.08
382,UK,Submersible,PAM02068,12719.94
383,UK,Submersible,PAM01595,10830.84
384,UK,Submersible,PAM01596,10830.84
385,UK,Submersible,PAM01518,11082.72
387,UK,Submersible,PAM01676,12971.820000000002
389,UK,Submersible,PAM01288,12594.0
390,UK,Submersible,PAM01289,12594.0
391,UK,Submersible,PAM01287,12594.0
392,UK,Submersible,PAM02231,19016.94
393,UK,Submersible,PAM01074,19142.88
394,UK,Submersible,PAM01232,20150.4
398,UK,Submersible,PAM02305,11586.48
399,UK,Submersible,PAM02692,16120.320000000002
400,UK,Submersible,PAM01669,14860.92
401,UK,Submersible,PAM02616,20528.22
402,UK,Submersible,PAM02979,21913.56
406,UK,Submersible,PAM02239,32996.28
408,UK,Submersible,PAM02164,32492.52
409,UK,Submersible,PAM02070,36144.78
410,UK,Luminor Due,PAM01378,8060.160000000001
411,UK,Luminor Due,PAM01248,7556.400000000001
412,UK,Luminor Due,PAM01273,7556.400000000001
416,UK,Luminor Due,PAM01123,8312.04
417,UK,Luminor Due,PAM01508,8563.92
418,UK,Luminor Due,PAM01311,8563.92
419,UK,Luminor Due,PAM01309,8563.92
420,UK,Luminor Due,PAM01319,8563.92
421,UK,Luminor Due,PAM01557,10453.02
422,UK,Luminor Due,PAM01179,10453.02
423,UK,Luminor Due,PAM01301,11334.6
424,UK,Luminor Due,PAM01381,8437.980000000001
425,UK,Luminor Due,PAM01388,7934.22
426,UK,Luminor Due,PAM01250,7934.22
427,UK,Luminor Due,PAM01428,7934.22
428,UK,Luminor Due,PAM01429,7934.22
429,UK,Luminor Due,PAM01424,7934.22
430,UK,Luminor Due,PAM01124,8815.800000000001
431,UK,Luminor Due,PAM01387,8941.74
432,UK,Luminor Due,PAM01539,8941.74
433,UK,Luminor Due,PAM01280,20150.4
435,UK,Luminor Due,PAM01182,40426.740000000005
436,UK,Luminor Due,PAM01181,23298.9
437,UK,Luminor Due,PAM01504,43575.240000000005
438,UK,Luminor Due,PAM01423,23298.9
439,UK,Luminor Due,PAM01336,23298.9
440,UK,Luminor Due,PAM01329,42567.72
