collection,reference,cheapest_price,cheapest_country
LUMINOR,PAM00233,12463.199999999999,France
LUMINOR,PAM00317,17386.138,Japan
LUMINOR,PAM00335,17967.78,France
LUMINOR,PAM00372,7232.049,Japan
LUMINOR,PAM00422,10178.279999999999,France
LUMINOR,PAM00423,10282.14,France
LUMINOR,PAM00511,17386.138,Japan
LUMINOR,PAM00524,11320.74,France
LUMINOR,PAM00525,21769.198,Japan
LUMINOR,PAM00526,17552.34,France
LUMINOR,PAM00533,10957.65,Japan
LUMINOR,PAM00557,7597.304,Japan
LUMINOR,PAM00560,5113.57,Japan
LUMINOR,PAM00561,6439.32,France
LUMINOR,PAM00562,5405.774,Japan
LUMINOR,PAM00563,5551.876,Japan
LUMINOR,PAM00564,5917.131,Japan
LUMINOR,PAM00576,22718.861,Japan
LUMINOR,PAM00580,11834.262,Japan
LUMINOR,PAM00590,5551.876,Japan
LUMINOR,PAM00652,13879.69,Japan
LUMINOR,PAM00653,12463.199999999999,France
LUMINOR,PAM00654,12463.199999999999,France
LUMINOR,PAM00656,18262.75,Japan
LUMINOR,PAM00661,12359.34,France
LUMINOR,PAM00670,22745.34,France
LUMINOR,PAM00715,68547.59999999999,France
LUMINOR,PAM00722,8828.1,France
LUMINOR,PAM00723,7158.9980000000005,Japan
LUMINOR,PAM00742,47775.6,France
LUMINOR,PAM00764,13397.939999999999,France
LUMINOR,PAM00768,150597.0,France
LUMINOR,PAM00773,4090.856,Japan
LUMINOR,PAM00774,5089.139999999999,France
LUMINOR,PAM00775,5089.139999999999,France
LUMINOR,PAM00776,5608.44,France
LUMINOR,PAM00777,5608.44,France
LUMINOR,PAM00778,5608.44,France
LUMINOR,PAM00779,8204.94,France
LUMINOR,PAM00788,16098.3,France
LUMINOR,PAM00795,7477.92,France
LUMINOR,PAM00796,5697.978,Japan
LUMINOR,PAM00797,7997.219999999999,France
LUMINOR,PAM00863,23887.8,France
LUMINOR,PAM00914,6439.32,France
LUMINOR,PAM00915,6958.62,France
LUMINOR,PAM00977,8828.1,France
LUMINOR,PAM00978,7158.9980000000005,Japan
LUMINOR,PAM00986,16183.29,UK
LUMINOR,PAM01020,22718.861,Japan
LUMINOR,PAM01025,8815.800000000001,UK
LUMINOR,PAM01028,8828.1,France
LUMINOR,PAM01033,9451.26,France
LUMINOR,PAM01036,11320.74,France
LUMINOR,PAM01037,18175.5,France
LUMINOR,PAM01038,24407.1,France
LUMINOR,PAM01048,5478.825,Japan
LUMINOR,PAM01058,7158.9980000000005,Japan
LUMINOR,PAM01060,172407.6,France
LUMINOR,PAM01075,9866.699999999999,France
LUMINOR,PAM01084,5608.44,France
LUMINOR,PAM01085,5608.44,France
LUMINOR,PAM01086,5089.139999999999,France
LUMINOR,PAM01088,7581.78,France
LUMINOR,PAM01090,7789.5,France
LUMINOR,PAM01096,11216.88,France
LUMINOR,PAM01104,7556.400000000001,UK
LUMINOR,PAM01109,9243.539999999999,France
LUMINOR,PAM01110,10074.42,France
LUMINOR,PAM01111,27522.899999999998,France
LUMINOR,PAM01112,24510.96,France
LUMINOR,PAM01114,28976.94,France
LUMINOR,PAM01115,28976.94,France
LUMINOR,PAM01116,39986.1,France
LUMINOR,PAM01117,19733.399999999998,France
LUMINOR,PAM01118,16617.6,France
LUMINOR,PAM01119,19733.399999999998,France
LUMINOR,PAM01122,19733.399999999998,France
LUMINOR,PAM01135,22745.34,France
LUMINOR,PAM01157,8828.1,France
LUMINOR,PAM01218,9243.539999999999,France
LUMINOR,PAM01270,7166.34,France
LUMINOR,PAM01271,7166.34,France
LUMINOR,PAM01272,7166.34,France
LUMINOR,PAM01275,14829.353000000001,Japan
LUMINOR,PAM01278,35648.888,Japan
LUMINOR,PAM01279,10282.14,France
LUMINOR,PAM01298,16098.3,France
LUMINOR,PAM01303,9451.26,France
LUMINOR,PAM01312,8204.94,France
LUMINOR,PAM01313,8204.94,France
LUMINOR,PAM01314,8204.94,France
LUMINOR,PAM01316,9035.82,France
LUMINOR,PAM01321,9866.699999999999,France
LUMINOR,PAM01351,6611.1155,Japan
LUMINOR,PAM01356,8828.1,France
LUMINOR,PAM01358,8828.1,France
LUMINOR,PAM01359,6574.59,Japan
LUMINOR,PAM01392,7997.219999999999,France
LUMINOR,PAM01393,7997.219999999999,France
LUMINOR,PAM01438,15059.699999999999,France
LUMINOR,PAM01441,14021.1,France
LUMINOR,PAM01499,8204.94,France
LUMINOR,PAM01523,7997.219999999999,France
LUMINOR,PAM01535,9243.539999999999,France
LUMINOR,PAM01537,9658.98,France
LUMINOR,PAM01661,14021.1,France
LUMINOR,PAM01662,15579.0,France
LUMINOR,PAM01663,16617.6,France
LUMINOR,PAM01664,14021.1,France
LUMINOR,PAM02392,7997.219999999999,France
LUMINOR-DUE,PAM00674,11712.42,UK
LUMINOR-DUE,PAM00675,28210.56,UK
LUMINOR-DUE,PAM00676,6574.59,Japan
LUMINOR-DUE,PAM00677,17897.495,Japan
LUMINOR-DUE,PAM00729,8985.273000000001,Japan
LUMINOR-DUE,PAM00739,11542.058,Japan
LUMINOR-DUE,PAM00741,22329.899999999998,France
LUMINOR-DUE,PAM00755,6335.46,France
LUMINOR-DUE,PAM00756,12637.823,Japan
LUMINOR-DUE,PAM00903,4967.468,Japan
LUMINOR-DUE,PAM00904,6647.04,France
LUMINOR-DUE,PAM00906,5186.621,Japan
LUMINOR-DUE,PAM00926,7166.34,France
LUMINOR-DUE,PAM00927,7477.92,France
LUMINOR-DUE,PAM00943,10282.14,France
LUMINOR-DUE,PAM00944,11320.74,France
LUMINOR-DUE,PAM00964,12359.34,France
LUMINOR-DUE,PAM01029,15994.439999999999,France
LUMINOR-DUE,PAM01041,19110.239999999998,France
LUMINOR-DUE,PAM01042,19110.239999999998,France
LUMINOR-DUE,PAM01043,6335.46,France
LUMINOR-DUE,PAM01045,15994.439999999999,France
LUMINOR-DUE,PAM01046,6647.04,France
LUMINOR-DUE,PAM01123,7166.34,France
