currency,collection,product_url,reference,price,year,image_url,country,brand,name,availability,currency_code,price_GBP,price_EUR,price_USD,price_JPY
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01570-radiomir-quaranta.html,PAM01570,6000,2025,https://www.panerai.com/content/dam/rcq/pan/km/si/mL/Jw/F0/i4/ti/6H/nA/8r/_Q/kmsimLJwF0i4ti6HnA8r_Q.png,USA,PANERAI,Radiomir Quaranta,Available,USD,4656.6,5557.2,6000.0,887670.6
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01571-radiomir-quaranta.html,PAM01571,6000,2025,https://www.panerai.com/content/dam/rcq/pan/Ot/NA/-H/39/uE/Kv/rR/oH/H4/S8/hQ/OtNA-H39uEKvrRoHH4S8hQ.png,USA,PANERAI,Radiomir Quaranta,Out of Stock,USD,4656.6,5557.2,6000.0,887670.6
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01572-radiomir-quaranta.html,PAM01572,6000,2025,https://www.panerai.com/content/dam/rcq/pan/lz/DC/dU/3y/d0/iv/7I/zD/o2/1G/Ow/lzDCdU3yd0iv7IzDo21GOw.png,USA,PANERAI,Radiomir Quaranta,Available,USD,4656.6,5557.2,6000.0,887670.6
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01573-radiomir-quaranta.html,PAM01573,6000,2025,https://www.panerai.com/content/dam/rcq/pan/iY/f-/Ui/M1/wU/mo/nm/OC/S1/l_/kA/iYf-UiM1wUmonmOCS1l_kA.png,USA,PANERAI,Radiomir Quaranta,Available,USD,4656.6,5557.2,6000.0,887670.6
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01385-radiomir-officine.html,PAM01385,5400,2025,https://www.panerai.com/content/dam/rcq/pan/bc/NG/dJ/yn/8E/S9/WC/7R/lJ/b5/FA/bcNGdJyn8ES9WC7RlJb5FA.png,USA,PANERAI,Radiomir Officine,Out of Stock,USD,4190.9400000000005,5001.4800000000005,5400.0,798903.54
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01384-radiomir-officine.html,PAM01384,5400,2025,https://www.panerai.com/content/dam/rcq/pan/jM/Vd/8j/GV/v0/mK/Qt/r0/gL/SM/MA/jMVd8jGVv0mKQtr0gLSMMA.png,USA,PANERAI,Radiomir Officine,Available,USD,4190.9400000000005,5001.4800000000005,5400.0,798903.54
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01383-radiomir-officine.html,PAM01383,4900,2025,https://www.panerai.com/content/dam/rcq/pan/VZ/vB/8C/mR/E0/-8/ZC/8P/mN/A9/Qg/VZvB8CmRE0-8ZC8PmNA9Qg.png,USA,PANERAI,Radiomir Officine,Available,USD,3802.89,4538.38,4900.0,724930.99
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01382-radiomir-officine.html,PAM01382,4900,2025,https://www.panerai.com/content/dam/rcq/pan/Ku/v1/KD/o5/Rb/Gp/9m/Wf/ki/Al/cA/Kuv1KDo5RbGp9mWfkiAlcA.png,USA,PANERAI,Radiomir Officine,Available,USD,3802.89,4538.38,4900.0,724930.99
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01334-radiomir-tre-giorni.html,PAM01334,7100,2025,https://www.panerai.com/content/dam/rcq/pan/gF/8W/6q/zc/WU/WL/kh/SC/cT/uT/ww/gF8W6qzcWUWLkhSCcTuTww.png,USA,PANERAI,Radiomir Tre Giorni,Available,USD,5510.31,6576.02,7100.0,1050410.21
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01335-radiomir-tre-giorni.html,PAM01335,7100,2025,https://www.panerai.com/content/dam/rcq/pan/7w/I2/13/Xb/BE/Ga/MS/Z8/Y5/UA/Uw/7wI213XbBEGaMSZ8Y5UAUw.png,USA,PANERAI,Radiomir Tre Giorni,Available,USD,5510.31,6576.02,7100.0,1050410.21
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01350-radiomir-tre-giorni.html,PAM01350,7100,2025,https://www.panerai.com/content/dam/rcq/pan/mC/bG/Av/li/W0/6q/58/sB/Gm/l_/1w/mCbGAvliW06q58sBGml_1w.png,USA,PANERAI,Radiomir Tre Giorni,Available,USD,5510.31,6576.02,7100.0,1050410.21
$,Radiomir,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01347-radiomir-otto-giorni.html,PAM01347,9700,2025,https://www.panerai.com/content/dam/rcq/pan/sq/bR/W6/SN/-E/CF/th/-B/Zw/5b/tA/sqbRW6SN-ECFth-BZw5btA.png,USA,PANERAI,Radiomir Otto Giorni,Available,USD,7528.17,8984.14,9700.0,1435067.47
