reference,brand,product_url,price,year,currency,image_url,collection,country,name,availability,currency_code,price_USD,price_EUR,price_GBP,price_JPY
PAM01570,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01570-radiomir-quaranta.html,6000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/km/si/mL/Jw/F0/i4/ti/6H/nA/8r/_Q/kmsimLJwF0i4ti6HnA8r_Q.png,Radiomir,USA,Radiomir Quaranta,Available,USD,6000.0,5757.6,4752.6,898790.9999999999
PAM01571,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01571-radiomir-quaranta.html,6000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Ot/NA/-H/39/uE/Kv/rR/oH/H4/S8/hQ/OtNA-H39uEKvrRoHH4S8hQ.png,Radiomir,USA,Radiomir Quaranta,Available,USD,6000.0,5757.6,4752.6,898790.9999999999
PAM01572,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01572-radiomir-quaranta.html,6000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/lz/DC/dU/3y/d0/iv/7I/zD/o2/1G/Ow/lzDCdU3yd0iv7IzDo21GOw.png,Radiomir,USA,Radiomir Quaranta,Available,USD,6000.0,5757.6,4752.6,898790.9999999999
PAM01573,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01573-radiomir-quaranta.html,6000.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/iY/f-/Ui/M1/wU/mo/nm/OC/S1/l_/kA/iYf-UiM1wUmonmOCS1l_kA.png,Radiomir,USA,Radiomir Quaranta,Available,USD,6000.0,5757.6,4752.6,898790.9999999999
PAM01385,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01385-radiomir-officine.html,5400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/bc/NG/dJ/yn/8E/S9/WC/7R/lJ/b5/FA/bcNGdJyn8ES9WC7RlJb5FA.png,Radiomir,USA,Radiomir Officine,Out of Stock,USD,5400.0,5181.84,4277.34,808911.8999999999
PAM01384,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01384-radiomir-officine.html,5400.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/jM/Vd/8j/GV/v0/mK/Qt/r0/gL/SM/MA/jMVd8jGVv0mKQtr0gLSMMA.png,Radiomir,USA,Radiomir Officine,Available,USD,5400.0,5181.84,4277.34,808911.8999999999
PAM01383,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01383-radiomir-officine.html,4900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/VZ/vB/8C/mR/E0/-8/ZC/8P/mN/A9/Qg/VZvB8CmRE0-8ZC8PmNA9Qg.png,Radiomir,USA,Radiomir Officine,Available,USD,4900.0,4702.04,3881.29,734012.6499999999
PAM01382,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01382-radiomir-officine.html,4900.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/Ku/v1/KD/o5/Rb/Gp/9m/Wf/ki/Al/cA/Kuv1KDo5RbGp9mWfkiAlcA.png,Radiomir,USA,Radiomir Officine,Available,USD,4900.0,4702.04,3881.29,734012.6499999999
PAM01334,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01334-radiomir-tre-giorni.html,7100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/gF/8W/6q/zc/WU/WL/kh/SC/cT/uT/ww/gF8W6qzcWUWLkhSCcTuTww.png,Radiomir,USA,Radiomir Tre Giorni,Available,USD,7100.0,6813.16,5623.91,1063569.3499999999
PAM01335,PANERAI,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01335-radiomir-tre-giorni.html,7100.0,2025,$,https://www.panerai.com/content/dam/rcq/pan/7w/I2/13/Xb/BE/Ga/MS/Z8/Y5/UA/Uw/7wI213XbBEGaMSZ8Y5UAUw.png,Radiomir,USA,Radiomir Tre Giorni,Available,USD,7100.0,6813.16,5623.91,1063569.3499999999
